set M := M1 M2 M3;

param n := 5;

param demand :=	1   4000
                2   5000
                3   3000
                4   2000
                5   1000;

param capacity :    1       2       3       4		5 :=
                M1  2000    6000    4000    1000	2000
                M2  3000    3000    1000    1000	3000
                M3	1000	2000	3000	4000	5000;

param cost :    1   2   3   4 	5 :=
            M1  3   1   2   4	5  
            M2  2   1   5   4	5
            M3  5	4	3	2	1;

param storage_cost := 2;
