i, row-wise, col-wise, row-wise/col-wise
0, 0.000925, 0.001244,0.743569
1000, 0.458196, 0.392293,1.16799
2000, 0.644844, 0.787748,0.818592
3000, 0.966566, 1.33675,0.723074
4000, 1.30002, 1.71313,0.758856
5000, 1.54338, 2.00228,0.770811
6000, 1.73053, 2.60416,0.664524
7000, 1.9161, 2.51634,0.761462
8000, 2.18723, 3.1936,0.684881
9000, 2.32465, 3.28996,0.70659
10000, 2.7116, 5.98738,0.452886
11000, 2.83589, 3.86603,0.73354
12000, 3.29326, 4.58359,0.718488
13000, 3.36668, 4.64105,0.725413
14000, 3.55834, 5.45153,0.652722
15000, 4.25423, 5.68461,0.748378
16000, 4.14272, 6.90047,0.600353
17000, 4.36296, 8.31943,0.52443
18000, 4.86311, 7.6121,0.638866
19000, 4.79031, 8.64245,0.554277
20000, 5.01706, 9.62044,0.5215
21000, 5.32132, 11.6533,0.456636
22000, 5.61324, 11.3214,0.495806
23000, 5.94194, 14.4027,0.412557
24000, 6.25894, 13.2971,0.470699
25000, 6.53509, 13.6241,0.479671
26000, 6.8024, 13.4066,0.507391
27000, 6.9884, 14.3716,0.486264
28000, 7.1345, 14.891,0.479115
29000, 7.86533, 18.8839,0.416511
30000, 7.79961, 18.6066,0.419186
31000, 8.03427, 18.7779,0.427857
32000, 8.27884, 18.3948,0.450065
33000, 8.23727, 21.3249,0.386275
34000, 8.88652, 22.7096,0.391311
35000, 8.74673, 23.8088,0.367374
36000, 9.30858, 23.6211,0.39408
37000, 9.66585, 25.4816,0.379327
38000, 11.2842, 25.5277,0.442037
39000, 9.79623, 28.4453,0.344389
40000, 10.5981, 28.7635,0.368456
41000, 11.0628, 33.5609,0.329633
42000, 11.3227, 32.7499,0.345733
43000, 11.3402, 31.9869,0.354526
44000, 11.5237, 33.3602,0.345434
45000, 11.627, 35.4435,0.328043
46000, 11.8415, 37.2008,0.318313
47000, 12.4729, 42.4816,0.293607
48000, 12.5776, 37.7482,0.333197
49000, 12.5827, 42.3069,0.297416
50000, 12.7266, 47.1603,0.269859
51000, 13.5442, 42.912,0.315627
52000, 13.3607, 44.9748,0.29707
53000, 13.8446, 46.3784,0.298515
54000, 14.221, 48.483,0.29332
55000, 15.823, 50.1589,0.315457
56000, 14.8414, 53.2057,0.278945
57000, 16.5405, 53.1002,0.311496
58000, 15.2069, 54.6204,0.278411
59000, 15.7179, 61.2471,0.256632
60000, 15.86, 57.7213,0.274769
61000, 16.2308, 59.6051,0.272305
62000, 16.2451, 66.3667,0.244778
63000, 16.5234, 63.409,0.260584
64000, 16.773, 69.5838,0.241047
65000, 17.3297, 67.7247,0.255885
66000, 17.513, 72.8733,0.240322
67000, 17.6006, 74.5796,0.235997
68000, 19.0447, 76.8252,0.247897
69000, 18.0817, 79.0067,0.228863
70000, 18.322, 77.6472,0.235964
71000, 18.8576, 84.2526,0.223822
72000, 19.0881, 86.361,0.221026
73000, 19.339, 86.1451,0.224494
74000, 19.3356, 85.6965,0.225629
75000, 19.746, 93.3116,0.211613
76000, 20.1359, 89.6635,0.224572
77000, 20.8447, 91.8973,0.226826
78000, 20.3519, 97.952,0.207775
79000, 20.9171, 103.172,0.202741
80000, 20.9848, 97.8519,0.214454
81000, 21.3542, 99.5375,0.214534
82000, 22.6554, 101.485,0.223239
83000, 21.5754, 103.207,0.209049
84000, 22.2736, 109.895,0.20268
85000, 22.9711, 125.024,0.183733
86000, 23.9119, 126.524,0.188991
87000, 23.0544, 122.924,0.18755
88000, 23.9428, 133.918,0.178787
89000, 25.1183, 127.006,0.197772
90000, 23.7707, 121.505,0.195636
91000, 23.9163, 122.054,0.195949
92000, 24.7189, 125.76,0.196556
93000, 24.9359, 127.307,0.195872
94000, 24.5466, 131.434,0.18676
95000, 25.1787, 133.428,0.188707
96000, 25.3993, 133.241,0.190626
97000, 26.7424, 146.705,0.182288
98000, 27.8844, 143.204,0.194719
99000, 27.7155, 146.025,0.1898
