i, row-wise, col-wise, row-wise/col-wise
0, 0.001616, 0.000184,8.78261
1000, 0.463876, 0.396244,1.17068
2000, 0.783394, 0.954127,0.821058
3000, 1.27798, 1.72203,0.74214
4000, 1.78224, 2.15066,0.828693
5000, 2.27718, 2.63547,0.864051
6000, 2.55695, 3.18223,0.80351
7000, 3.12941, 3.34922,0.934369
8000, 3.13369, 3.75813,0.833841
9000, 3.65945, 4.14744,0.882341
10000, 3.84569, 5.47872,0.701932
11000, 4.25796, 5.01679,0.848741
12000, 4.58221, 5.47154,0.837463
13000, 4.89438, 6.69578,0.730965
14000, 5.3317, 6.22228,0.856872
15000, 5.25495, 6.75075,0.778425
16000, 5.7306, 7.04263,0.813703
17000, 5.99314, 7.11806,0.841962
18000, 7.04022, 7.96815,0.883545
19000, 6.76212, 7.99679,0.845605
20000, 7.72009, 8.87302,0.870064
21000, 7.51907, 9.61698,0.781853
22000, 7.83195, 9.68693,0.808507
23000, 8.94326, 9.80466,0.912143
24000, 9.07136, 10.9469,0.828666
25000, 9.17713, 10.7013,0.85757
26000, 10.0745, 11.8911,0.847231
27000, 9.81531, 12.6097,0.778393
28000, 10.2659, 12.7817,0.803171
29000, 10.6904, 12.4929,0.855721
30000, 11.4933, 13.4785,0.852711
31000, 12.0235, 14.2067,0.846326
32000, 12.3829, 14.4594,0.85639
33000, 13.0181, 15.3449,0.848366
34000, 13.5391, 14.9006,0.908625
35000, 13.7828, 15.6206,0.88235
36000, 14.313, 16.0794,0.890148
37000, 14.7148, 17.1297,0.859026
38000, 15.5387, 17.827,0.871638
39000, 15.7748, 19.0864,0.826495
40000, 15.6436, 19.0485,0.821248
41000, 16.4754, 18.3526,0.897718
42000, 16.7352, 19.4293,0.861337
43000, 16.9106, 20.8041,0.812853
44000, 17.6266, 20.0781,0.8779
45000, 18.0964, 20.1848,0.896537
46000, 17.3592, 22.0617,0.786849
47000, 18.9259, 22.4695,0.842293
48000, 19.1156, 23.1728,0.824917
49000, 19.9366, 23.1994,0.859359
50000, 19.7893, 24.4702,0.80871
51000, 20.7977, 24.5001,0.848883
52000, 20.7322, 24.6456,0.841212
53000, 22.034, 23.8989,0.921968
54000, 20.7647, 26.1692,0.793481
55000, 23.1878, 25.6444,0.904203
56000, 21.7192, 27.2736,0.796348
57000, 23.9249, 26.1466,0.915028
58000, 22.233, 27.8378,0.798665
59000, 25.0143, 27.3385,0.914983
60000, 23.0288, 29.262,0.786987
61000, 25.3218, 27.7413,0.912784
62000, 24.4182, 29.5939,0.825107
63000, 25.7058, 29.9478,0.858354
64000, 25.3166, 31.3933,0.806433
65000, 27.3231, 31.5142,0.867007
66000, 26.9805, 31.5367,0.855526
67000, 27.8588, 32.2016,0.865136
68000, 28.0928, 33.493,0.838769
69000, 29.0956, 34.4626,0.844266
70000, 30.8315, 34.6407,0.890035
71000, 29.7338, 35.3066,0.842159
72000, 30.7706, 36.1538,0.851103
73000, 30.9804, 35.6961,0.867892
74000, 31.1189, 36.6741,0.848525
75000, 32.1018, 35.761,0.897677
76000, 31.2456, 37.2867,0.837982
77000, 31.8195, 36.8467,0.863563
78000, 31.6994, 38.0038,0.834112
79000, 32.56, 37.9573,0.857805
80000, 32.9828, 38.104,0.865599
81000, 33.4986, 38.933,0.860417
82000, 33.9168, 40.5321,0.836789
83000, 34.124, 40.7099,0.838224
84000, 35.8902, 40.3166,0.890208
85000, 35.423, 40.4582,0.875545
86000, 35.4169, 41.2296,0.859018
87000, 36.8157, 43.308,0.850088
88000, 37.6887, 41.9851,0.897668
89000, 37.2272, 42.3657,0.878709
90000, 36.5703, 43.924,0.832582
91000, 37.5263, 44.6011,0.841375
92000, 38.0451, 44.605,0.852934
93000, 39.368, 44.4181,0.886303
94000, 38.2578, 47.005,0.813909
95000, 40.3207, 45.319,0.889707
96000, 39.1622, 46.6003,0.840386
97000, 40.002, 46.0879,0.867949
98000, 40.3904, 47.8228,0.844584
99000, 41.6853, 47.2577,0.882086
