Bundesland,Einwohner,Anzahl Inf. 7T,Todesf.,x_pos,y_pos
BW,      11069533, 20430, 9366,  206, 631
Bay,     13076721, 19741, 14180, 382, 608
Ber,     3644826,  4440,  3212,  481, 252
Bran,    2511917,  2767,  3568,  511, 302
Brem,    682986,   886,   454,   194, 192
Ham,     1841179,  1661,  1496,  270, 148
Hes,     6265809,  9904,  6878,  197, 449
MVP,     1609675,  1942,  998,   432, 100
NiederS, 7982448,  8139,  5312,  260, 235
NRW,     17932651, 28652, 15551, 87,  351
RLP,     4084844,  5103,  3561,  86,  483
Saar,    990509,   1395,  960,   78,  563
Sachs,   4077937,  8310,  9105,  483, 376
SachsAn, 2208321,  3707,  3094,  368, 282
SHol,    2896712,  1785,  1510,  252, 73
TH,      2143145,  4713,  3837,  328, 410
